Code,Description
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B679,"Echinococcosis, other and unspecified"
B68,Taeniasis
B680,Taenia solium taeniasis
B681,Taenia saginata taeniasis
B689,"Taeniasis, unspecified"
B69,Cysticercosis
B690,Cysticercosis of central nervous system
B691,Cysticercosis of eye
B698,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B70,Diphyllobothriasis and sparganosis
B700,Diphyllobothriasis
B701,Sparganosis
B71,Other cestode infections
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Other specified cestode infections
B719,"Cestode infection, unspecified"
B72X,Dracunculiasis
B73X,Onchocerciasis
B74,Filariasis
B740,Filariasis due to Wuchereria bancrofti
B741,Filariasis due to Brugia malayi
B742,Filariasis due to Brugia timori
B743,Loiasis
B744,Mansonelliasis
B748,Other filariases
B749,"Filariasis, unspecified"
B75X,Trichinellosis
B76,Hookworm diseases
B760,Ancylostomiasis
B761,Necatoriasis
B768,Other hookworm diseases
B769,"Hookworm disease, unspecified"
B77,Ascariasis
B770,Ascariasis with intestinal complications
B778,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B78,Strongyloidiasis
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,"Strongyloidiasis, unspecified"
B79X,Trichuriasis
B80X,Enterobiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongyliasis
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B82,Unspecified intestinal parasitism
B820,"Intestinal helminthiasis, unspecified"
B829,"Intestinal parasitism, unspecified"
B83,Other helminthiases
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angiostrongyliasis due to Parastrongylus cantonensis
B833,Syngamiasis
B834,Internal hirudiniasis
B838,Other specified helminthiases
B839,"Helminthiasis, unspecified"
B85,Pediculosis and phthiriasis
B850,Pediculosis due to Pediculus humanus capitis
B851,Pediculosis due to Pediculus humanus corporis
B852,"Pediculosis, unspecified"
B853,Phthiriasis
B854,Mixed pediculosis and phthiriasis
B86X,Scabies
B87,Myiasis
B870,Cutaneous myiasis
B871,Wound myiasis
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Aural myiasis
B878,Myiasis of other sites
B879,"Myiasis, unspecified"
B88,Other infestations
B880,Other acariasis
B881,Tungiasis [sandflea infestation]
B882,Other arthropod infestations
B883,External hirudiniasis
B888,Other specified infestations
B889,"Infestation, unspecified"
B89X,Unspecified parasitic disease
B90,Sequelae of tuberculosis
B900,Sequelae of central nervous system tuberculosis
B901,Sequelae of genitourinary tuberculosis
B902,Sequelae of tuberculosis of bones and joints
B908,Sequelae of tuberculosis of other organs
B909,Sequelae of respiratory and unspecified tuberculosis
B91X,Sequelae of poliomyelitis
B92X,Sequelae of leprosy
B94,Sequelae of other and unspecified infectious and parasitic diseases
B940,Sequelae of trachoma
B941,Sequelae of viral encephalitis
B942,Sequelae of viral hepatitis
B948,Sequelae of other specified infectious and parasitic diseases
B949,Sequelae of unspecified infectious or parasitic disease
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
B950,"Streptococcus, group A, as the cause of diseases classified to other chapters"
B951,"Streptococcus, group B, as the cause of diseases classified to other chapters"
B952,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B953,Streptococcus pneumoniae as the cause of diseases classified to other chapters
B954,Other streptococcus as the cause of diseases classified to other chapters
B955,Unspecified streptococcus as the cause of diseases classified to other chapters
B956,Staphylococcus aureus as the cause of diseases classified to other chapters
B957,Other staphylococcus as the cause of diseases classified to other chapters
B958,Unspecified staphylococcus as the cause of diseases classified to other chapters
B96,Other specified bacterial agents as the cause of diseases classified to other chapters
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B962,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B963,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B964,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B965,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
B966,Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
B968,Other specified bacterial agents as the cause of diseases classified to other chapters
B97,Viral agents as the cause of diseases classified to other chapters
B970,Adenovirus as the cause of diseases classified to other chapters
B971,Enterovirus as the cause of diseases classified to other chapters
B972,Coronavirus as the cause of diseases classified to other chapters
B973,Retrovirus as the cause of diseases classified to other chapters
B974,Respiratory syncytial virus as the cause of diseases classified to other chapters
B975,Reovirus as the cause of diseases classified to other chapters
B976,Parvovirus as the cause of diseases classified to other chapters
B977,Papillomavirus as the cause of diseases classified to other chapters
B978,Other viral agents as the cause of diseases classified to other chapters
B98,Other specified infectious agents as the cause of diseases classified to other chapters
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
B981,Vibrio vulnificus as the cause of diseases classified to other chapters
B99X,Other and unspecified infectious diseases
C00,Malignant neoplasm of lip
C000,Malignant neoplasm: External upper lip
C001,Malignant neoplasm: External lower lip
C002,"Malignant neoplasm: External lip, unspecified"
C003,"Malignant neoplasm: Upper lip, inner aspect"
C004,"Malignant neoplasm: Lower lip, inner aspect"
C005,"Malignant neoplasm: Lip, unspecified, inner aspect"
C006,Malignant neoplasm: Commissure of lip
C008,Malignant neoplasm: Overlapping lesion of lip
C009,"Malignant neoplasm: Lip, unspecified"
C01X,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C020,Malignant neoplasm: Dorsal surface of tongue
C021,Malignant neoplasm: Border of tongue
C022,Malignant neoplasm: Ventral surface of tongue
C023,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
C024,Malignant neoplasm: Lingual tonsil
C028,Malignant neoplasm: Overlapping lesion of tongue
C029,"Malignant neoplasm: Tongue, unspecified"
C03,Malignant neoplasm of gum
C030,Malignant neoplasm: Upper gum
C031,Malignant neoplasm: Lower gum
C039,"Malignant neoplasm: Gum, unspecified"
C04,Malignant neoplasm of floor of mouth
C040,Malignant neoplasm: Anterior floor of mouth
C041,Malignant neoplasm: Lateral floor of mouth
C048,Malignant neoplasm: Overlapping lesion of floor of mouth
C049,"Malignant neoplasm: Floor of mouth, unspecified"
C05,Malignant neoplasm of palate
C050,Malignant neoplasm: Hard palate
C051,Malignant neoplasm: Soft palate
C052,Malignant neoplasm: Uvula
C058,Malignant neoplasm: Overlapping lesion of palate
C059,"Malignant neoplasm: Palate, unspecified"
C06,Malignant neoplasm of other and unspecified parts of mouth
C060,Malignant neoplasm: Cheek mucosa
C061,Malignant neoplasm: Vestibule of mouth
C062,Malignant neoplasm: Retromolar area
C068,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth
C069,"Malignant neoplasm: Mouth, unspecified"
C07X,Malignant neoplasm of parotid gland
C08,Malignant neoplasm of other and unspecified major salivary glands
C080,Malignant neoplasm: Submandibular gland
C081,Malignant neoplasm: Sublingual gland
C088,Malignant neoplasm: Overlapping lesion of major salivary glands
C089,"Malignant neoplasm: Major salivary gland, unspecified"
C09,Malignant neoplasm of tonsil
C090,Malignant neoplasm: Tonsillar fossa
C091,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
C098,Malignant neoplasm: Overlapping lesion of tonsil
C099,"Malignant neoplasm: Tonsil, unspecified"
C10,Malignant neoplasm of oropharynx
C100,Malignant neoplasm: Vallecula
C101,Malignant neoplasm: Anterior surface of epiglottis
C102,Malignant neoplasm: Lateral wall of oropharynx
C103,Malignant neoplasm: Posterior wall of oropharynx
C104,Malignant neoplasm: Branchial cleft
C108,Malignant neoplasm: Overlapping lesion of oropharynx
C109,"Malignant neoplasm: Oropharynx, unspecified"
C11,Malignant neoplasm of nasopharynx
C110,Malignant neoplasm: Superior wall of nasopharynx
C111,Malignant neoplasm: Posterior wall of nasopharynx
C112,Malignant neoplasm: Lateral wall of nasopharynx
C113,Malignant neoplasm: Anterior wall of nasopharynx
C118,Malignant neoplasm: Overlapping lesion of nasopharynx
C119,"Malignant neoplasm: Nasopharynx, unspecified"
C12X,Malignant neoplasm of piriform sinus
C13,Malignant neoplasm of hypopharynx
C130,Malignant neoplasm: Postcricoid region
C131,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect"
C132,Malignant neoplasm: Posterior wall of hypopharynx
C138,Malignant neoplasm: Overlapping lesion of hypopharynx
C139,"Malignant neoplasm: Hypopharynx, unspecified"
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C140,"Malignant neoplasm: Pharynx, unspecified"
C142,Malignant neoplasm: Waldeyer ring
C148,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
C15,Malignant neoplasm of oesophagus
C150,Malignant neoplasm: Cervical part of oesophagus
C151,Malignant neoplasm: Thoracic part of oesophagus
C152,Malignant neoplasm: Abdominal part of oesophagus
C153,Malignant neoplasm: Upper third of oesophagus
C154,Malignant neoplasm: Middle third of oesophagus
C155,Malignant neoplasm: Lower third of oesophagus
C158,Malignant neoplasm: Overlapping lesion of oesophagus
C159,"Malignant neoplasm: Oesophagus, unspecified"
C16,Malignant neoplasm of stomach
C160,Malignant neoplasm: Cardia
C161,Malignant neoplasm: Fundus of stomach
C162,Malignant neoplasm: Body of stomach
C163,Malignant neoplasm: Pyloric antrum
C164,Malignant neoplasm: Pylorus
C165,"Malignant neoplasm: Lesser curvature of stomach, unspecified"
C166,"Malignant neoplasm: Greater curvature of stomach, unspecified"
C168,Malignant neoplasm: Overlapping lesion of stomach
C169,"Malignant neoplasm: Stomach, unspecified"
C17,Malignant neoplasm of small intestine
C170,Malignant neoplasm: Duodenum
C171,Malignant neoplasm: Jejunum
C172,Malignant neoplasm: Ileum
C173,Malignant neoplasm: Meckel diverticulum
C178,Malignant neoplasm: Overlapping lesion of small intestine
C179,"Malignant neoplasm: Small intestine, unspecified"
C18,Malignant neoplasm of colon
C180,Malignant neoplasm: Caecum
C181,Malignant neoplasm: Appendix
C182,Malignant neoplasm: Ascending colon
C183,Malignant neoplasm: Hepatic flexure
C184,Malignant neoplasm: Transverse colon
C185,Malignant neoplasm: Splenic flexure
C186,Malignant neoplasm: Descending colon
C187,Malignant neoplasm: Sigmoid colon
C188,Malignant neoplasm: Overlapping lesion of colon
C189,"Malignant neoplasm: Colon, unspecified"
C19X,Malignant neoplasm of rectosigmoid junction
C20X,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C210,"Malignant neoplasm: Anus, unspecified"
C211,Malignant neoplasm: Anal canal
C212,Malignant neoplasm: Cloacogenic zone
C218,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal"
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C220,Malignant neoplasm: Liver cell carcinoma
C221,Malignant neoplasm: Intrahepatic bile duct carcinoma
C222,Malignant neoplasm: Hepatoblastoma
C223,Malignant neoplasm: Angiosarcoma of liver
C224,Malignant neoplasm: Other sarcomas of liver
C227,Malignant neoplasm: Other specified carcinomas of liver
C229,"Malignant neoplasm: Liver, unspecified"
C23X,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C240,Malignant neoplasm: Extrahepatic bile duct
C241,Malignant neoplasm: Ampulla of Vater
C248,Malignant neoplasm: Overlapping lesion of biliary tract
C249,"Malignant neoplasm: Biliary tract, unspecified"
C25,Malignant neoplasm of pancreas
C250,Malignant neoplasm: Head of pancreas
C251,Malignant neoplasm: Body of pancreas
C252,Malignant neoplasm: Tail of pancreas
C253,Malignant neoplasm: Pancreatic duct
C254,Malignant neoplasm: Endocrine pancreas
C257,Malignant neoplasm: Other parts of pancreas
C258,Malignant neoplasm: Overlapping lesion of pancreas
C259,"Malignant neoplasm: Pancreas, unspecified"
C26,Malignant neoplasm of other and ill-defined digestive organs
C260,"Malignant neoplasm: Intestinal tract, part unspecified"
C261,Malignant neoplasm: Spleen
C268,Malignant neoplasm: Overlapping lesion of digestive system
C269,Malignant neoplasm: Ill-defined sites within the digestive system
C30,Malignant neoplasm of nasal cavity and middle ear
C300,Malignant neoplasm: Nasal cavity
C301,Malignant neoplasm: Middle ear
C31,Malignant neoplasm of accessory sinuses
C310,Malignant neoplasm: Maxillary sinus
C311,Malignant neoplasm: Ethmoidal sinus
C312,Malignant neoplasm: Frontal sinus
C313,Malignant neoplasm: Sphenoidal sinus
C318,Malignant neoplasm: Overlapping lesion of accessory sinuses
C319,"Malignant neoplasm: Accessory sinus, unspecified"
